[1]| Escrito 107{{{br}}} Origen y naturaleza de los modeladores del pensamiento
[54]| Tal como las criaturas los vivencian, los modeladores del pensamiento desvelan la presencia y la guía de una influencia espiritual. El modelador es de hecho un espíritu, un espíritu puro, pero más que espíritu. Nunca hemos podido clasificar de forma satisfactoria a los mentores misteriosos; todo lo que es pertinente decir de ellos es que son verdaderamente como Dios.
[55]| El modelador constituye la posibilidad del hombre de lograr la eternidad; el hombre constituye la posibilidad del modelador de conseguir el ser personal. Vuestro modelador individual trabaja para espiritualizaros con la esperanza de eternizar vuestra identidad temporal. Los modeladores están repletos del amor bello que el Padre de los espíritus da de sí mismo. Os aman verdadera y divinamente; son los prisioneros de una esperanza espiritual confinada en las mentes de los hombres. Anhelan que vuestra mente mortal logre la divinidad para poder poner fin a su soledad, para así poder liberarse con vosotros de las limitaciones de la vestidura material y de los atavíos del tiempo.
[56]| Vuestro camino hacia el Paraíso es un sendero de logro espiritual, y la naturaleza del modelador os desvelará fielmente la revelación de la naturaleza espiritual del Padre Universal. Más allá del ascenso al Paraíso y en las etapas posfinalizadoras de la andadura eterna, el modelador quizás contacte con quien fue su compañero humano en una acción distinta a la espiritual; pero el ascenso al Paraíso y la andadura como finalizador conforman la confraternidad del mortal que conoce a Dios y se espiritualiza y el ministerio espiritual del modelador que revela a Dios.
[57]| Sabemos que los modeladores del pensamiento son espíritus, espíritus puros, presumiblemente espíritus absolutos. Pero el modelador debe ser también algo más que solo realidad espiritual. Además de su supuesta dotación mental, también hay presentes factores de energía pura en él. Si recordáis que Dios es la fuente de la energía pura y del espíritu puro, no será muy difícil determinar que sus fracciones sean ambos. Es un hecho que los modeladores cruzan el espacio por las vías de circulación gravitatorias instantáneas y universales de la Isla del Paraíso.
[58]| Que los mentores misteriosos estén por consiguiente relacionados con las vías circulatorias materiales del universo de los universos es verdaderamente sorprendente. Pero sigue siendo un hecho que se mueven tan rápido como una centella por todo el gran universo a través de las vías circulatorias de la gravedad material. Es perfectamente posible que puedan incluso penetrar en los niveles del espacio exterior; ciertamente podrían seguir la presencia gravitatoria del Paraíso en estas regiones y, aunque mi orden de ser personal puede recorrer las vías circulatorias de la mente del Actor Conjunto también más allá de los confines del gran universo, jamás hemos tenido la seguridad de detectar la presencia de los modeladores en las regiones inexploradas del espacio exterior.
[59]| Y, sin embargo, aunque los modeladores utilizan las vías circulatorias de la gravedad material, no están sujetos a ella como lo está la creación material. Los modeladores son fracciones del ancestro de la gravedad, no sus consecuencias; se han segmentado en el universo en un nivel de existencia que hipotéticamente antecede a la aparición de la gravedad.
[60]| Los modeladores del pensamiento no tienen descanso desde el momento en el que se otorgan hasta el día en el que se liberan para emprender la marcha hacia Lugar de la Divinidad, tras el fallecimiento de sus tutelados humanos. Y aquellos cuyos tutelados no pasan por las puertas de la muerte natural ni siquiera disfrutan de este respiro temporal. Los modeladores del pensamiento no precisan de la ingesta de energía; son energía, energía del orden más elevado y divino
[61]| 7. LOS MODELADORES Y EL SER PERSONAL
[62]| Los modeladores del pensamiento no son seres personales, pero sí entidades reales; están verdadera y perfectamente individualizados, aunque jamás adquieren el estado personal mientras moran en los mortales. Los modeladores del pensamiento no son verdaderos seres personales; son {i{i{verdaderas realidades,}i}i} realidades del orden más puro conocido en el universo de los universos —son la presencia divina—. Aunque no sean personales, a estas magníficas fracciones del Padre se les suele denominar “seres” y, en ocasiones, teniendo en cuenta las facetas espirituales de su presente ministerio a los mortales, “entidades espirituales”.
[63]| Si los modeladores del pensamiento no son seres personales, teniendo las prerrogativas de la voluntad y el poder de elección, ¿cómo pueden seleccionar a sus tutelados humanos y decidir voluntariamente morar en estas criaturas de los mundos evolutivos? Esta pregunta es fácil de formular, pero probablemente, en el universo de los universos, jamás ser alguno haya podido encontrar la respuesta exacta. Ni incluso mi orden de seres personales, los mensajeros solitarios, comprende del todo tal atribución de voluntad, elección y amor en entidades que no son personales.
[64]| A menudo hemos conjeturado que los modeladores del pensamiento han de tener volición en cuanto a todos los niveles de elección {i{i{prepersonales}i}i}. Se ofrecen voluntarios para habitar en los seres humanos, diseñan planes para la eterna andadura del hombre, los adaptan, modifican y substituyen conforme a las circunstancias, y esta actividad denota auténtica volición. Tienen aprecio por los mortales, obran en casos de crisis en el universo, siempre están a la espera de actuar con determinación con arreglo a la elección humana, y todas ellas son reacciones sumamente volitivas. En cualquier situación no relacionada con el ámbito de la voluntad humana, muestran, sin lugar a dudas, una conducta que atestigua el ejercicio de facultades, en todos los sentidos, equivalentes a la voluntad, a una máxima toma de decisión.
[65]| Pero, si los modeladores del pensamiento poseen volición, ¿por qué están supeditados a la voluntad de los mortales? Opinamos que se debe a que su volición, aunque de naturaleza absoluta, es prepersonal en cuanto a su manifestación. La voluntad humana actúa en el nivel personal de la realidad universal y, en todo el cosmos, lo impersonal —lo no personal, lo subpersonal y lo prepersonal— es siempre receptivo a la voluntad y a las acciones del ser personal existente.
[66]| En todo un universo de seres creados y energías no personales, no observamos ninguna manifestación de voluntad, volición, elección y amor al margen del ser personal. Salvo en el caso de los modeladores y de otras entidades similares, no percibimos estos atributos del ser personal obrando en conjunción con realidades impersonales. No sería acertado designar a los modeladores como subpersonales como tampoco sería pertinente aludir a estas entidades como suprapersonales; si bien, sería totalmente admisible referirse a ellos como prepersonales.
[67]| Para nuestros órdenes de seres, estas fracciones de la Deidad se conocen como dones divinos. Reconocemos que los modeladores son de origen divino y que constituyen, probablemente, la prueba y la demostración de que el Padre Universal se reserva la posibilidad de dirigir y comunicarse ilimitadamente con cualquiera y todas las criaturas materiales de sus prácticamente infinitos dominios, y todo ello con total independencia de su presencia en los seres personales de sus hijos del Paraíso o por medio de su ministerio indirecto en los seres personales del Espíritu Infinito.
[68]| No existen seres creados para los que no sea un deleite ser los anfitriones de los mentores misteriosos, pero no moran en ningún orden de seres excepto en criaturas volitivas evolutivas destinadas a ser finalizadoras.
[69]| [Exposición de un mensajero solitario de Orvontón.]
